date,market,commodity,unit,price,currency,admin1,admin2,latitude,longitude,category,pricetype,priceflag
#date,#loc+market+name,#item+name,#item+unit,#value,#currency+code,#adm1+name,#adm2+name,#geo+lat,#geo+lon,#item+type,#item+price+type,#item+price+flag
2006-01-15,Kumasi,Maize,100 KG,25.4,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-01-15,Kumasi,Rice (local),50 KG,33.06,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-01-15,Kumasi,Sorghum,109 KG,38.25,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-01-15,Kumasi,Yam,250 KG,63.38,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-01-15,Techiman,Cassava,91 KG,16,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-01-15,Techiman,Maize,100 KG,16.15,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-01-15,Techiman,Millet,93 KG,32.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-01-15,Techiman,Sorghum,109 KG,34.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-01-15,Techiman,Yam,250 KG,70,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-01-15,Accra,Cassava,91 KG,13.9,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-01-15,Accra,Maize,100 KG,28.2,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-01-15,Accra,Millet,93 KG,50.23,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-01-15,Accra,Rice (local),50 KG,26,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-01-15,Accra,Yam,250 KG,57.75,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-01-15,Tamale,Millet,93 KG,30,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-01-15,Tamale,Rice (local),50 KG,20,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-01-15,Tamale,Sorghum,109 KG,21,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-01-15,Tamale,Yam,250 KG,51.75,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-01-15,Bolga,Millet,93 KG,27.25,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-01-15,Bolga,Rice (local),50 KG,28.5,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-01-15,Bolga,Sorghum,109 KG,25,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-01-15,Wa,Maize,100 KG,21.4,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-01-15,Wa,Millet,93 KG,30.85,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-01-15,Wa,Rice (local),50 KG,26.07,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-02-15,Kumasi,Maize,100 KG,21.75,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-02-15,Kumasi,Millet,93 KG,40.25,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-02-15,Kumasi,Sorghum,109 KG,35,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-02-15,Techiman,Cassava,91 KG,13.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-02-15,Techiman,Maize,100 KG,14.91,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-02-15,Techiman,Millet,93 KG,36,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-02-15,Techiman,Rice (local),50 KG,22.38,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-02-15,Techiman,Sorghum,109 KG,32,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-02-15,Accra,Cassava,91 KG,13.75,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-02-15,Accra,Maize,100 KG,27.05,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-02-15,Accra,Millet,93 KG,54.38,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-02-15,Accra,Rice (local),50 KG,28,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-02-15,Accra,Sorghum,109 KG,50,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-02-15,Tamale,Cassava,91 KG,13,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-02-15,Tamale,Maize,100 KG,20,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-02-15,Tamale,Sorghum,109 KG,21.75,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-02-15,Tamale,Yam,250 KG,57.5,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-02-15,Bolga,Maize,100 KG,24.25,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-02-15,Bolga,Millet,93 KG,28,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-02-15,Bolga,Rice (local),50 KG,28.34,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-02-15,Bolga,Sorghum,109 KG,25,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-02-15,Wa,Maize,100 KG,21.4,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-02-15,Wa,Millet,93 KG,28.6,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-02-15,Wa,Rice (local),50 KG,28.55,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-02-15,Wa,Sorghum,109 KG,30.18,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-02-15,Wa,Yam,250 KG,49,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-03-15,Kumasi,Cassava,91 KG,9.33,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-03-15,Kumasi,Maize,100 KG,21.21,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-03-15,Kumasi,Millet,93 KG,39.67,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-03-15,Kumasi,Sorghum,109 KG,39,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-03-15,Kumasi,Yam,250 KG,85,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-03-15,Techiman,Maize,100 KG,14.37,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-03-15,Techiman,Millet,93 KG,40,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-03-15,Techiman,Rice (local),50 KG,17.9,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-03-15,Techiman,Sorghum,109 KG,36.83,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-03-15,Accra,Sorghum,109 KG,48.4,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-03-15,Accra,Yam,250 KG,47.1,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-03-15,Tamale,Cassava,91 KG,13,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-03-15,Tamale,Maize,100 KG,17.67,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-03-15,Tamale,Millet,93 KG,28.67,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-03-15,Tamale,Rice (local),50 KG,22.67,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-03-15,Tamale,Sorghum,109 KG,20,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-03-15,Tamale,Yam,250 KG,66.67,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-03-15,Bolga,Maize,100 KG,24,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-03-15,Bolga,Millet,93 KG,29.33,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-03-15,Bolga,Rice (local),50 KG,30,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-03-15,Wa,Maize,100 KG,21.4,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-03-15,Wa,Millet,93 KG,28.6,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-03-15,Wa,Rice (local),50 KG,28.58,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-03-15,Wa,Yam,250 KG,61.33,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-04-15,Kumasi,Cassava,91 KG,9.15,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-04-15,Kumasi,Maize,100 KG,20.88,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-04-15,Kumasi,Millet,93 KG,40.63,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-04-15,Kumasi,Rice (local),50 KG,36.25,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-04-15,Techiman,Maize,100 KG,14.04,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-04-15,Techiman,Millet,93 KG,33.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-04-15,Techiman,Rice (local),50 KG,22,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-04-15,Accra,Cassava,91 KG,13.15,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-04-15,Accra,Millet,93 KG,46.85,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-04-15,Accra,Sorghum,109 KG,44.5,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-04-15,Accra,Yam,250 KG,61.55,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-04-15,Tamale,Maize,100 KG,17,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-04-15,Tamale,Rice (local),50 KG,32,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-04-15,Bolga,Maize,100 KG,24,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-04-15,Bolga,Millet,93 KG,28.5,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-04-15,Bolga,Sorghum,109 KG,25.5,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-04-15,Wa,Maize,100 KG,18.74,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-04-15,Wa,Rice (local),50 KG,29.16,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-04-15,Wa,Sorghum,109 KG,27.74,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-04-15,Wa,Yam,250 KG,82.5,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-05-15,Kumasi,Cassava,91 KG,9.63,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-05-15,Kumasi,Maize,100 KG,22,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-05-15,Kumasi,Millet,93 KG,41.5,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-05-15,Kumasi,Rice (local),50 KG,37.63,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-05-15,Kumasi,Sorghum,109 KG,40,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-05-15,Kumasi,Yam,250 KG,71.25,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-05-15,Techiman,Cassava,91 KG,15,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-05-15,Techiman,Maize,100 KG,20.19,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-05-15,Techiman,Rice (local),50 KG,19.75,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-05-15,Techiman,Sorghum,109 KG,33.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-05-15,Techiman,Yam,250 KG,97.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-05-15,Accra,Maize,100 KG,26.58,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-05-15,Accra,Millet,93 KG,48.02,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-05-15,Accra,Rice (local),50 KG,27.17,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-05-15,Accra,Sorghum,109 KG,44.75,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-05-15,Tamale,Cassava,91 KG,12,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-05-15,Tamale,Maize,100 KG,18,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-05-15,Tamale,Millet,93 KG,32.25,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-05-15,Tamale,Yam,250 KG,75,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-05-15,Bolga,Maize,100 KG,20.25,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-05-15,Bolga,Millet,93 KG,28,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-05-15,Bolga,Rice (local),50 KG,35,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-05-15,Bolga,Sorghum,109 KG,23,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-05-15,Bolga,Yam,250 KG,60,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-05-15,Wa,Maize,100 KG,17.85,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-05-15,Wa,Sorghum,109 KG,27.4,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-05-15,Wa,Yam,250 KG,84,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-06-15,Kumasi,Cassava,91 KG,8,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-06-15,Kumasi,Maize,100 KG,26.7,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-06-15,Kumasi,Yam,250 KG,79,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-06-15,Techiman,Cassava,91 KG,15,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-06-15,Techiman,Maize,100 KG,17.9,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-06-15,Techiman,Millet,93 KG,33,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-06-15,Accra,Cassava,91 KG,10.3,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-06-15,Accra,Maize,100 KG,29.73,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-06-15,Accra,Millet,93 KG,52.5,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-06-15,Accra,Sorghum,109 KG,50,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-06-15,Accra,Yam,250 KG,78,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-06-15,Tamale,Cassava,91 KG,13.67,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-06-15,Tamale,Maize,100 KG,17.33,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-06-15,Tamale,Sorghum,109 KG,20,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-06-15,Tamale,Yam,250 KG,90,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-06-15,Bolga,Maize,100 KG,17.67,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-06-15,Bolga,Millet,93 KG,26.67,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-06-15,Bolga,Yam,250 KG,59.67,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-06-15,Wa,Maize,100 KG,19.65,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-06-15,Wa,Millet,93 KG,27.62,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-06-15,Wa,Sorghum,109 KG,27.9,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-06-15,Wa,Yam,250 KG,90,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-07-15,Kumasi,Maize,100 KG,23.93,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-07-15,Kumasi,Millet,93 KG,41.5,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-07-15,Kumasi,Yam,250 KG,66.25,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-07-15,Techiman,Maize,100 KG,14.43,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-07-15,Techiman,Millet,93 KG,29.75,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-07-15,Techiman,Sorghum,109 KG,29.88,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-07-15,Techiman,Yam,250 KG,94.5,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-07-15,Accra,Cassava,91 KG,10.78,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-07-15,Accra,Maize,100 KG,27.85,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-07-15,Accra,Sorghum,109 KG,47,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-07-15,Accra,Yam,250 KG,75.93,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-07-15,Tamale,Cassava,91 KG,14,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-07-15,Tamale,Maize,100 KG,15.25,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-07-15,Tamale,Millet,93 KG,28.5,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-07-15,Tamale,Rice (local),50 KG,21,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-07-15,Tamale,Sorghum,109 KG,18,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-07-15,Tamale,Yam,250 KG,87.5,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-07-15,Bolga,Maize,100 KG,15.5,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-07-15,Bolga,Rice (local),50 KG,32.75,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-07-15,Bolga,Sorghum,109 KG,20.25,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-07-15,Bolga,Yam,250 KG,64,GHS,UPPER EAST,BOLGATANGA MUNICIPAL,10.79,-0.85,cereals and tubers,Wholesale,actual
2006-07-15,Wa,Maize,100 KG,18.75,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-07-15,Wa,Millet,93 KG,28.6,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-07-15,Wa,Rice (local),50 KG,30.35,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-07-15,Wa,Yam,250 KG,90,GHS,UPPER WEST,WA MUNICIPAL,10.05,-2.48,cereals and tubers,Wholesale,actual
2006-08-15,Kumasi,Cassava,91 KG,9.75,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-08-15,Kumasi,Maize,100 KG,25.4,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-08-15,Kumasi,Sorghum,109 KG,42.5,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-08-15,Kumasi,Yam,250 KG,64,GHS,ASHANTI,KMA,6.68,-1.62,cereals and tubers,Wholesale,actual
2006-08-15,Techiman,Maize,100 KG,13.7,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-08-15,Techiman,Millet,93 KG,25,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-08-15,Techiman,Sorghum,109 KG,32,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-08-15,Techiman,Yam,250 KG,75,GHS,BRONG AHAFO,TECHIMAN MUNICIPAL,7.58,-1.93,cereals and tubers,Wholesale,actual
2006-08-15,Accra,Cassava,91 KG,10.75,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-08-15,Accra,Maize,100 KG,22.75,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-08-15,Accra,Millet,93 KG,44.65,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-08-15,Accra,Sorghum,109 KG,38.15,GHS,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22,cereals and tubers,Wholesale,actual
2006-08-15,Tamale,Millet,93 KG,25,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
2006-08-15,Tamale,Sorghum,109 KG,12,GHS,NORTHERN,TAMALE NORTH SUB METRO,9.4,-0.83,cereals and tubers,Wholesale,actual
